"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","8. Proposal Discussion Forum","1","","17","0","","0"
"0","12. Proposal Budget Submission","0","","12","12","","0"
"0","6. Miscellaneous","7","","63","0","6A. Should be accessible from mobile","0"
"1","11. Proposal Budget","2","","13","0","","0"
"4","3. DRep registration","0","","17","0","","0"
"0","Setup","0","","23","0","Authentication","0"
"0","6. Miscellaneous","0","","12","0","","0"
"0","10. User Snap","0","","5","0","","0"
"4","7. Proposal submission","0","","32","0","","0"
"2","4. Proposal visibility","3","","16","0","","0"
"0","2. Delegation","1","","28","0","","0"
"0","Setup","0","","1","0","Faucet","0"
"0","9. Outcomes","3","","10","0","","0"
"0","5. Proposal functionality","0","","12","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","2","0","Register DRep","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","1","0","Proposal","0"
"0","Setup","0","","3","0","Cleanup","0"
