"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Setup","","Authentication","0","0","9","0","0"
"7. Proposal submission","","","9","0","10","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","4","3","12","0","0"
"2. Delegation","","","2","0","24","0","0"
"4. Proposal visibility","","","0","0","14","1","0"
"Proposal Discussion Forum","","","3","2","4","0","0"
"5. Proposal functionality","","","1","0","10","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"3. DRep registration","","","2","1","17","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"6. Miscellaneous","","","2","2","4","0","0"
"","","","9","0","0","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"Setup","","proposal","0","0","1","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"Setup","","Faucet","0","0","1","0","0"
