"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","7. Proposal submission","1","","33","5","","0"
"0","11. Proposal Budget","1","","15","0","","0"
"2","6. Miscellaneous","8","","60","0","6A. Should be accessible from mobile","0"
"2","9. Outcomes","6","","18","0","","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"0","5. Proposal functionality","0","","12","0","","0"
"0","6. Miscellaneous","0","","10","0","","0"
"0","Setup","0","","26","0","Authentication","0"
"0","10. User Snap","0","","5","0","","0"
"0","Setup","0","","4","0","Cleanup","0"
"0","Setup","0","","3","0","Register DRep","0"
"1","4. Proposal visibility","4","","16","0","","0"
"0","2. Delegation","3","","26","0","","0"
"0","3. DRep registration","3","","20","0","","0"
"2","8. Proposal Discussion Forum","1","","14","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","1","0","Proposal","0"
