"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","0","156","","0"
"1","6. Miscellaneous","0","","3","0","","0"
"4","6. Miscellaneous","6","","60","0","6A. Should be accessible from mobile","0"
"1","4. Proposal visibility","1","","11","0","","0"
"0","Setup","25","","0","0","Authentication","0"
"0","9. Outcomes","1","","12","0","","0"
"0","10. User Snap","2","","3","0","","0"
"0","Setup","0","","3","0","Register DRep","0"
"1","7. Proposal submission","0","","0","0","","0"
"0","5. Proposal functionality","0","","2","0","","0"
"0","2. Delegation","0","","11","0","","0"
"0","Setup","1","","3","0","Cleanup","0"
"0","8. Proposal Discussion Forum","0","","10","0","","0"
"0","11. Proposal Budget","0","","9","0","","0"
"0","1. Wallet connect","4","","0","0","","0"
"1","3. DRep registration","0","","0","0","","0"
"0","12. Proposal Budget Submission","0","","1","0","","0"
"0","Setup","0","","1","0","Proposal","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
