"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"3. DRep registration","","","1","0","8","0","0"
"6. Miscellaneous","","","1","0","14","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","0","2","24","0","0"
"","","","0","0","0","50","0"
"8. Proposal Discussion Forum","","","3","3","11","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"4. Proposal visibility","","","1","0","10","0","0"
"7. Proposal submission","","","5","5","10","0","0"
"2. Delegation","","","0","0","7","0","0"
"Setup","","Authentication","0","0","11","0","0"
"5. Proposal functionality","","","0","0","1","0","0"
"Setup","","Faucet","1","0","0","0","0"
"Setup","","Cleanup","1","0","0","0","0"
